"LIZARDNUMBER","DATE","YEAR","SEASON","TIME","EASTING","NORTHING","Distance.Moved..m.","X"
"F66","11/29/09",2009,"Winter","14:35:00",500983,3592582,56,NA
"F66","12/13/09",2009,"Winter","13:53:00",500983,3592582,0,NA
"F66","1/12/11",2011,"Winter","9:56:00",500972,3592595,76,NA
