"LIZARDNUMBER","DATE","YEAR","SEASON","TIME","EASTING","NORTHING","Distance.Moved..m.","X"
"M119","3/28/09",2009,"Emergence","N/A",500215,3592655,320,NA
"M119","3/25/10",2010,"Emergence","12:01:00",500412,3592885,69,NA
"M119","4/5/10",2010,"Emergence","13:44:00",500220,3592658,297,NA
