LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
M119,male,4/9/08,2008,Dry,16:52:00,500347,3592863,NA,NA
M119,male,4/16/08,2008,Dry,9:49:00,500115,3592633,327,NA
M119,male,4/21/08,2008,Dry,10:28:00,500406,3592794,333,NA
M119,male,4/21/08,2008,Dry,9:47:00,500277,3592798,129,NA
M119,male,4/23/08,2008,Dry,14:48:00,500426,3593048,291,NA
M119,male,4/24/08,2008,Dry,12:37:00,500394,3592887,164,NA
M119,male,4/25/08,2008,Dry,8:35:34,500394,3592887,0,NA
M119,male,5/1/08,2008,Dry,10:12:00,500637,3593156,363,NA
M119,male,5/2/08,2008,Dry,10:32:00,500637,3593158,2,NA
M119,male,5/5/08,2008,Dry,9:20:00,500320,3592681,573,NA
M119,male,5/6/08,2008,Dry,10:05:00,500347,3592738,63,NA
M119,male,5/7/08,2008,Dry,11:22:00,500127,3592981,328,NA
M119,male,5/7/08,2008,Dry,9:19:00,500137,3592867,114,NA
M119,male,5/8/08,2008,Dry,10:55:00,500465,3593131,421,NA
M119,male,5/14/08,2008,Dry,10:39:00,500214,3592657,536,NA
M119,male,5/20/08,2008,Dry,11:27:00,500425,3592781,245,NA
M119,male,5/22/08,2008,Dry,17:38:00,500435,3592825,45,NA
M119,male,5/25/08,2008,Dry,18:55:00,500523,3592808,90,NA
M119,male,5/26/08,2008,Dry,18:37:00,500396,3592767,133,NA
M119,male,5/28/08,2008,Dry,19:06:00,500465,3593131,370,NA
M119,male,6/2/08,2008,Dry,18:40:00,500422,3592779,355,NA
M119,male,6/3/08,2008,Dry,19:08:00,500293,3592685,160,NA
M119,male,6/6/08,2008,Dry,19:21:00,500371,3592542,163,NA
M119,male,6/9/08,2008,Dry,18:30:00,500373,3592553,11,NA
M119,male,6/11/08,2008,Dry,21:46:00,500397,3592565,27,NA
M119,male,6/18/08,2008,Dry,20:14:00,500325,3592892,335,NA
M119,male,6/21/08,2008,Dry,19:11:00,500325,3592892,0,NA
M119,male,6/22/08,2008,Dry,19:59:00,500325,3592892,0,NA
M119,male,6/24/08,2008,Dry,21:31:00,500264,3592658,242,NA
M119,male,6/26/08,2008,Dry,21:41:00,500264,3592658,0,NA
M119,male,6/28/08,2008,Dry,21:34:00,500288,3592656,24,NA
M119,male,6/30/08,2008,Dry,22:40:00,500546,3592958,397,NA
M119,male,7/7/08,2008,Dry,23:41:00,500178,3592689,456,NA
M119,male,7/13/08,2008,Monsoon,8:19:00,500114,3592470,228,NA
M119,male,7/15/08,2008,Monsoon,22:49:00,5.00E+05,3592565,148,NA
M119,male,7/17/08,2008,Monsoon,7:05:00,500175,3592516,182,NA
M119,male,7/18/08,2008,Monsoon,8:19:00,500171,3592646,130,NA
M119,male,7/20/08,2008,Monsoon,7:26:00,500304,3592914,299,NA
M119,male,7/21/08,2008,Monsoon,22:04:00,500335,3592836,84,NA
M119,male,7/26/08,2008,Monsoon,7:47:00,500411,3592816,79,NA
M119,male,7/27/08,2008,Monsoon,8:44:00,500313,3592870,112,NA
M119,male,7/28/08,2008,Monsoon,23:02:00,500117,3592511,409,NA
M119,male,7/29/08,2008,Monsoon,18:41:00,500114,3592513,4,NA
M119,male,7/30/08,2008,Monsoon,23:11:00,500114,3592513,0,NA
M119,male,7/31/08,2008,Monsoon,10:15:00,500114,3592513,0,NA
M119,male,7/31/08,2008,Monsoon,21:32:00,500120,3592511,6,NA
M119,male,8/4/08,2008,Monsoon,22:56:00,500184,3592671,172,NA
M119,male,8/22/08,2008,Monsoon,20:05:00,500185,3592749,78,NA
M119,male,8/27/08,2008,Monsoon,8:25:00,500216,3592790,51,NA
M119,male,9/3/08,2008,Monsoon,8:40:00,500372,3592898,190,NA
M119,male,9/11/08,2008,Monsoon,11:15:00,500427,3592834,84,NA
M119,male,9/17/08,2008,Monsoon,19:01:00,500427,3592834,0,NA
M119,male,9/25/08,2008,Monsoon,7:52:00,500427,3592834,0,NA
M119,male,9/27/08,2008,Monsoon,18:31:00,500332,3592948,148,NA
M119,male,10/10/08,2008,Post_Monsoon,8:59:00,500540,3592980,210,NA
M119,male,10/17/08,2008,Post_Monsoon,18:16:00,500411,3593042,143,NA
M119,male,10/23/08,2008,Post_Monsoon,17:44:00,500542,3593010,135,NA
M119,male,11/8/08,2008,Post_Monsoon,15:36:00,500300,3592964,246,NA
