"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"F66",2010,"23:49",501028,3592187
"F66",2010,"21:50",501086,3592131
"F66",2010,"8:46",501042,3592192
"F66",2010,"7:26",501040,3592170
"F66",2010,"11:22",501040,3592170
"F66",2010,"23:29",500915,3592348
"F66",2010,"21:16",500888,3592248
"F66",2010,"6:37",501032,3592183
"F66",2010,"21:15",501045,3592179
"F66",2010,"7:39",501030,3592180
"F66",2010,"1:24",501034,3592183
"F66",2010,"23:27",501030,3592180
"F66",2010,"19:44",500938,3591967
"F66",2010,"22:51",500859,3591782
"F66",2010,"22:02",500808,3591730
"F66",2010,"21:29",500723,3591971
"F66",2010,"23:52",500884,3592100
"F66",2010,"10:44",500869,3592011
"F66",2010,"23:03",500935,3591630
"F66",2010,"0:13",500635,3591777
"F66",2010,"10:58",500508,3591837
"F66",2010,"21:09",500883,3591873
"F66",2010,"9:03",500794,3592036
"F66",2010,"22:18",500794,3592036
"F66",2010,"20:56",500990,3592374
"F66",2010,"10:32",500981,3592371
"F66",2010,"18:26",500950,3592417
"F66",2010,"10:03",501011,3592528
"F66",2010,"15:24",501016,3592533
"F66",2010,"14:04",501016,3592533
"F66",2011,"9:56",500972,3592595
"F66",2011,"11:57",501030,3592212
"F66",2011,"11:35",501057,3592234
"F66",2011,"9:09",500928,3592047
"F66",2011,"12:32",500829,3591994
