"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"F66",2008,12:39:00,501088,3592253
"F66",2008,11:44:00,501079,3592173
"F66",2008,08:17:00,501088,3592253
"F66",2008,09:32:00,501088,3592253
"F66",2008,10:07:00,501088,3592253
"F66",2008,10:15:00,501091,3592147
"F66",2008,13:30:00,500901,3592079
"F66",2008,13:30:00,500910,3591999
"F66",2008,11:15:00,501020,3592172
"F66",2008,09:53:00,501058,3592243
"F66",2008,09:52:00,501058,3592243
"F66",2008,20:40:00,501058,3592243
"F66",2008,10:30:00,501058,3592243
"F66",2008,19:18:00,501058,3592243
"F66",2008,19:06:00,501091,3592246
"F66",2008,19:33:00,500878,3592579
"F66",2008,20:00:00,500878,3592579
"F66",2008,20:35:00,500878,3592579
"F66",2008,21:12:00,500878,3592579
"F66",2008,19:51:00,500878,3592579
"F66",2008,20:59:00,500878,3592579
"F66",2008,19:02:00,500878,3592579
"F66",2008,22:07:00,500878,3592579
"F66",2008,20:47:00,500878,3592583
"F66",2008,20:58:00,500877,3592579
"F66",2008,22:18:00,500877,3592579
"F66",2008,20:42:00,500877,3592579
"F66",2008,20:41:00,501073,3592200
"F66",2008,20:15:00,501037,3592181
"F66",2008,07:17:00,501005,3592171
"F66",2008,22:24:00,500908,3592153
"F66",2008,22:12:00,500888,3591876
"F66",2008,07:42:00,501053,3592242
"F66",2008,22:50:00,500901,3592043
"F66",2008,08:08:00,500985,3592286
"F66",2008,10:04:00,500870,3592268
"F66",2008,21:52:00,500949,3591988
"F66",2008,22:20:00,501012,3592036
"F66",2008,20:16:00,500942,3592129
"F66",2008,09:35:00,500901,3592073
"F66",2008,20:52:00,500929,3592350
"F66",2008,09:36:00,500931,3592063
"F66",2008,09:03:00,501058,3592219
"F66",2008,20:30:00,501058,3592219
"F66",2008,09:42:00,500867,3592592
"F66",2008,11:24:00,500936,3592647
"F66",2008,16:41:00,500933,3592648
"F66",2008,10:47:00,500933,3592647
"F66",2008,16:18:00,500985,3592582
"F66",2008,15:54:00,500985,3592582
"F66",2008,13:57:00,500972,3592615
