"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"F66",2009,00:00:00,500920,3592553
"F66",2009,00:00:00,500920,3592553
"F66",2009,00:00:00,500971,3592408
"F66",2009,00:00:00,501088,3592253
"F66",2009,00:00:00,501084,3592254
"F66",2009,00:00:00,501084,3592254
"F66",2009,00:00:00,501084,3592254
"F66",2009,00:00:00,501057,3592295
"F66",2009,00:00:00,500870,3592391
"F66",2009,00:00:00,500870,3592391
"F66",2009,00:00:00,500870,3592391
"F66",2009,00:00:00,500870,3592391
"F66",2009,00:00:00,500862,3592384
"F66",2009,00:00:00,501077,3592168
"F66",2009,00:00:00,500897,3592050
"F66",2009,00:00:00,500902,3592311
"F66",2009,00:00:00,500958,3592369
"F66",2009,00:00:00,500948,3592352
"F66",2009,00:00:00,500948,3592352
"F66",2009,00:00:00,500895,3592279
"F66",2009,00:00:00,500895,3592279
"F66",2009,00:00:00,501015,3592179
"F66",2009,00:00:00,501015,3592179
"F66",2009,00:00:00,501015,3592179
"F66",2009,00:00:00,501015,3592179
"F66",2009,00:00:00,501015,3592179
"F66",2009,00:00:00,501023,3592204
"F66",2009,00:00:00,501023,3592204
"F66",2009,00:00:00,501023,3592204
"F66",2009,00:00:00,501023,3592204
"F66",2009,00:00:00,501023,3592204
"F66",2009,00:00:00,501023,3592204
"F66",2009,00:00:00,501023,3592204
"F66",2009,00:00:00,501023,3592204
"F66",2009,00:00:00,501023,3592204
"F66",2009,00:00:00,501023,3592204
"F66",2009,00:00:00,501023,3592204
"F66",2009,00:00:00,501023,3592204
"F66",2009,00:00:00,501036,3592185
"F66",2009,20:26:00,501035,3592185
"F66",2009,00:00:00,501034,3592173
"F66",2009,23:20:00,501043,3592185
"F66",2009,00:00:00,500991,3592209
"F66",2009,23:14:00,501020,3592211
"F66",2009,00:59:00,500869,3592011
"F66",2009,00:00:00,501034,3592173
"F66",2009,23:54:00,501012,3592159
"F66",2009,23:06:00,501016,3592169
"F66",2009,23:15:00,500946,3592125
"F66",2009,00:00:00,500942,3592124
"F66",2009,23:11:00,500939,3591996
"F66",2009,21:25:00,500881,3592044
"F66",2009,01:05:00,500869,3592011
"F66",2009,23:17:00,500799,3592344
"F66",2009,20:36:00,500805,3592332
"F66",2009,23:00:00,500858,3592295
"F66",2009,00:00:00,501031,3592089
"F66",2009,09:10:00,501037,3592087
"F66",2009,06:55:00,501037,3592087
"F66",2009,09:26:00,501058,3592581
"F66",2009,18:20:00,501058,3592581
"F66",2009,09:33:00,501053,3592574
"F66",2009,18:24:00,501056,3592572
"F66",2009,15:39:00,501054,3592574
"F66",2009,18:22:00,501013,3592532
"F66",2009,13:41:00,501013,3592532
"F66",2009,11:35:00,501013,3592519
"F66",2009,15:05:00,500983,3592582
"F66",2009,00:00:00,501011,3592534
"F66",2009,14:35:00,500983,3592582
"F66",2009,13:53:00,500983,3592582
