"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"F135",2008,07:45:00,501488,3592019
"F135",2008,21:40:00,501419,3591978
"F135",2008,22:45:00,501410,3592081
"F135",2008,21:58:00,501417,3592116
"F135",2008,21:09:00,501419,3592114
"F135",2008,20:20:00,501410,3592076
"F135",2008,20:32:00,501474,3592109
"F135",2008,07:36:00,501478,3592108
"F135",2008,18:51:00,501343,3592002
"F135",2008,18:35:00,501365,3592074
"F135",2008,09:19:00,501437,3592046
"F135",2008,06:59:00,501437,3592043
"F135",2008,15:00:00,501439,3592142
"F135",2008,12:37:00,501431,3592150
"F135",2008,14:20:00,501437,3592139
"F135",2008,11:55:00,501307,3592444
