LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
M67,male,5/2/07,2007,Dry,1839,501931,3592741,NA,NA
M67,male,5/17/07,2007,Dry,1917,501994,3592682,86,NA
M67,male,5/23/07,2007,Dry,1947,501829,3592405,322,NA
M67,male,6/1/07,2007,Dry,1825,501694,3592532,185,NA
M67,male,6/5/07,2007,Dry,1950,501784,3592564,96,NA
M67,male,6/20/07,2007,Dry,1940,501804,3592297,268,NA
M67,male,6/27/07,2007,Dry,1825,501830,3592477,182,NA
M67,male,7/3/07,2007,Dry,1950,501830,3592477,0,NA
M67,male,7/5/07,2007,Dry,2022,501823,3592629,152,NA
