"LIZARDNUMBER","DATE","YEAR","SEASON","TIME","EASTING","NORTHING","Distance.Moved..m.","X"
"M14","3/10/12",2012,"Emergence","12:55:00",501381,3592682,70,NA
"M14","3/14/12",2012,"Emergence","10:03:00",501298,3592697,84,NA
"M14","3/22/12",2012,"Emergence","14:03:00",501298,3592697,0,NA
"M14","3/30/12",2012,"Emergence","12:14:00",501549,3592761,259,NA
