LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
M14,male,8/1/07,2007,Monsoon,2331,501006,3592813,160,NA
M14,male,8/19/07,2007,Monsoon,1845,501289,3592706,303,NA
M14,male,8/22/07,2007,Monsoon,1940,501148,3592756,150,NA
M14,male,8/27/07,2007,Monsoon,2342,501048,3592719,107,NA
M14,male,8/15/11,2011,Monsoon,10:20:00,501373,3592755,327,NA
M14,male,8/16/11,2011,Monsoon,19:52:00,501219,3592819,167,NA
M14,male,8/20/11,2011,Monsoon,19:25:00,501476,3592766,262,NA
M14,male,8/23/11,2011,Monsoon,17:35:00,501190,3592543,363,NA
M14,male,8/27/11,2011,Monsoon,19:42:00,501494,3592735,360,NA
M14,male,9/1/11,2011,Monsoon,16:13:00,501357,3592772,142,NA
