LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
M14,male,5/2/07,2007,Dry,1855,501225,3592609,NA,NA
M14,male,5/3/07,2007,Dry,750,501225,3592609,0,NA
M14,male,5/6/07,2007,Dry,1854,501114,3592751,180,NA
M14,male,5/8/07,2007,Dry,900,501114,3592751,0,NA
M14,male,5/19/07,2007,Dry,1943,501225,3592614,176,NA
M14,male,5/24/07,2007,Dry,1904,501211,3592526,89,NA
M14,male,6/1/07,2007,Dry,1920,501196,3592591,67,NA
M14,male,6/21/07,2007,Dry,2031,501069,3592562,130,NA
M14,male,6/27/07,2007,Dry,1947,501118,3592722,167,NA
M14,male,7/3/07,2007,Dry,2022,501242,3592590,181,NA
M14,male,7/5/07,2007,Dry,2145,501102,3592685,169,NA
M14,male,8/1/07,2007,Monsoon,2331,501006,3592813,160,NA
M14,male,8/19/07,2007,Monsoon,1845,501289,3592706,303,NA
M14,male,8/22/07,2007,Monsoon,1940,501148,3592756,150,NA
M14,male,8/27/07,2007,Monsoon,2342,501048,3592719,107,NA
