"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"F137",2012,13:53:00,501343,3592391
"F137",2012,12:53:00,501343,3592391
"F137",2012,11:40:00,501343,3592391
"F137",2012,15:58:00,501343,3592391
"F137",2012,16:13:00,501340,3592393
"F137",2012,14:22:00,501345,3592394
"F137",2012,10:57:00,501342,3592392
"F137",2012,16:03:00,501360,3592373
"F137",2012,14:36:00,501500,3592225
"F137",2012,07:43:00,501387,3592385
"F137",2012,18:09:00,501386,3592383
"F137",2012,08:30:00,501317,3592289
"F137",2012,18:44:00,501557,3592269
