"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"F137",2009,00:00:00,501486,3592328
"F137",2009,00:00:00,501631,3592272
"F137",2009,00:00:00,501626,3592279
"F137",2009,00:00:00,501334,3592204
"F137",2009,00:00:00,501460,3592207
"F137",2009,00:00:00,501455,3592299
"F137",2009,00:00:00,501455,3592299
"F137",2009,00:00:00,501443,3592231
"F137",2009,00:00:00,501316,3592416
"F137",2009,00:00:00,501312,3592336
"F137",2009,00:00:00,501293,3592369
"F137",2009,00:00:00,501556,3592285
"F137",2009,07:47:00,501681,3592365
"F137",2009,00:00:00,501444,3592233
"F137",2009,22:06:00,501371,3592364
"F137",2009,00:43:00,501399,3592274
"F137",2009,22:05:00,501438,3592248
"F137",2009,00:00:00,501440,3592247
"F137",2009,02:19:00,501593,3592349
"F137",2009,03:07:00,501598,3592357
"F137",2009,19:45:00,501596,3592358
"F137",2009,19:36:00,501643,3592357
"F137",2009,21:42:00,501596,3592360
"F137",2009,22:30:00,501612,3592278
"F137",2009,21:21:00,501648,3592367
"F137",2009,19:21:00,501648,3592367
"F137",2009,14:03:00,501648,3592367
"F137",2009,19:43:00,501555,3592293
"F137",2009,19:24:00,501555,3592292
"F137",2009,14:53:00,501345,3592431
"F137",2009,12:43:00,501345,3592431
"F137",2009,11:34:00,501345,3592431
"F137",2009,00:00:00,501346,3592433
"F137",2009,14:00:00,501345,3592431
"F137",2009,11:19:00,501345,3592431
