"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"F36",2011,14:04:00,500376,3592910
"F36",2011,15:02:00,500387,3592566
"F36",2011,12:05:00,500550,3592579
"F36",2011,14:20:00,500395,3592569
"F36",2011,10:12:00,500189,3592610
"F36",2011,14:41:00,500101,3592489
"F36",2011,14:52:00,500175,3592518
"F36",2011,15:00:00,500177,3592526
"F36",2011,10:57:00,500388,3592568
"F36",2011,12:09:00,500390,3592584
"F36",2011,15:52:00,500285,3592488
"F36",2011,12:57:00,500294,3592466
"F36",2011,16:27:00,500318,3592427
"F36",2011,16:11:00,500322,3592426
"F36",2011,16:36:00,500227,3592380
"F36",2011,17:50:00,500336,3592478
"F36",2011,14:12:00,500374,3592562
"F36",2011,12:41:00,500404,3592589
"F36",2011,16:47:00,500406,3592593
"F36",2011,10:17:00,500415,3592893
"F36",2011,13:21:00,500412,3592891
"F36",2011,11:15:00,500412,3592891
"F36",2011,10:00:00,500412,3592891
