LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
F200,female,4/12/11,2011,Dry,10:30:00,499331,3592676,278,NA
F200,female,4/16/11,2011,Dry,14:52:00,499388,3592363,318,NA
F200,female,4/29/11,2011,Dry,11:51:00,499325,3592403,75,NA
F200,female,5/12/11,2011,Dry,15:33:00,499275,3592376,57,NA
F200,female,5/16/11,2011,Dry,7:12:00,499274,3592383,7,NA
F200,female,5/20/11,2011,Dry,17:18:00,499501,3592354,229,NA
F200,female,5/27/11,2011,Dry,13:05:00,499329,3592262,195,NA
F200,female,6/13/11,2011,Dry,10:45:00,499329,3592262,0,NA
