LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
F200,female,1/12/11,2011,Winter,10:22:00,499293,3592697,46,NA
F200,female,3/25/11,2011,Emergence,16:12:00,499515,3592468,319,NA
F200,female,4/12/11,2011,Dry,10:30:00,499331,3592676,278,NA
F200,female,4/16/11,2011,Dry,14:52:00,499388,3592363,318,NA
F200,female,4/29/11,2011,Dry,11:51:00,499325,3592403,75,NA
F200,female,5/12/11,2011,Dry,15:33:00,499275,3592376,57,NA
F200,female,5/16/11,2011,Dry,7:12:00,499274,3592383,7,NA
F200,female,5/20/11,2011,Dry,17:18:00,499501,3592354,229,NA
F200,female,5/27/11,2011,Dry,13:05:00,499329,3592262,195,NA
F200,female,6/13/11,2011,Dry,10:45:00,499329,3592262,0,NA
F200,female,7/8/11,2011,Monsoon,10:07:00,499454,3592372,167,NA
F200,female,7/25/11,2011,Monsoon,15:59:00,499418,3592433,71,NA
F200,female,8/4/11,2011,Monsoon,11:39:00,499236,3592346,202,NA
F200,female,8/7/11,2011,Monsoon,10:21:00,499243,3592397,51,NA
F200,female,8/11/11,2011,Monsoon,16:20:00,499279,3592271,131,NA
F200,female,8/13/11,2011,Monsoon,10:52:00,499278,3592276,5,NA
F200,female,8/16/11,2011,Monsoon,14:33:00,499429,3592386,187,NA
F200,female,8/20/11,2011,Monsoon,16:59:00,499322,3592385,107,NA
F200,female,8/27/11,2011,Monsoon,17:51:00,499373,3592513,138,NA
F200,female,9/4/11,2011,Monsoon,17:23:00,499401,3592274,241,NA
F200,female,9/13/11,2011,Monsoon,15:06:00,499404,3592479,205,NA
F200,female,9/22/11,2011,Monsoon,19:35:00,499454,3592484,50,NA
F200,female,10/1/11,2011,Post_Monsoon,11:52:00,499454,3592484,0,NA
F200,female,10/7/11,2011,Post_Monsoon,19:20:00,499454,3592484,0,NA
F200,female,11/19/11,2011,Post_Monsoon,9:13:00,499347,3592691,233,NA
F200,female,11/27/11,2011,Post_Monsoon,12:28:00,499354,3592700,11,NA
F200,female,12/5/11,2011,Post_Monsoon,10:33:00,499354,3592700,0,NA
F200,female,12/27/11,2011,Post_Monsoon,9:10:00,499354,3592700,0,NA
