LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
F214,female,7/24/10,2010,Monsoon,0:14:00,502658,3592160,NA,NA
F214,female,7/25/10,2010,Monsoon,20:07:00,502713,3592146,57,NA
F214,female,7/26/10,2010,Monsoon,18:14:00,502711,3592146,2,NA
F214,female,7/29/10,2010,Monsoon,23:08:00,502682,3591949,199,NA
F214,female,7/31/10,2010,Monsoon,23:25:00,502689,3592212,263,NA
F214,female,8/1/10,2010,Monsoon,20:29:00,502705,3592235,28,NA
F214,female,8/2/10,2010,Monsoon,20:34:00,502761,3592205,64,NA
F214,female,8/5/10,2010,Monsoon,21:23:00,502777,3592177,32,NA
F214,female,8/17/10,2010,Monsoon,0:02:00,502758,3592050,128,NA
F214,female,8/17/10,2010,Monsoon,23:30:00,502773,3592039,19,NA
F214,female,8/18/10,2010,Monsoon,7:40:00,502770,3592041,4,NA
F214,female,8/18/10,2010,Monsoon,20:12:00,502832,3592059,65,NA
F214,female,8/26/10,2010,Monsoon,22:56:00,502842,3592165,106,NA
F214,female,9/5/10,2010,Monsoon,18:51:00,503006,3592261,190,NA
F214,female,9/9/10,2010,Monsoon,10:58:00,502693,3592195,320,NA
F214,female,9/16/10,2010,Monsoon,19:32:00,502808,3592098,150,NA
F214,female,9/17/10,2010,Monsoon,20:57:00,502809,3592100,2,NA
F214,female,9/21/10,2010,Monsoon,22:12:00,502940,3592100,131,NA
F214,female,9/23/10,2010,Monsoon,20:26:00,502940,3592100,0,NA
F214,female,9/26/10,2010,Monsoon,20:39:00,502940,3592100,0,NA
F214,female,9/27/10,2010,Monsoon,21:25:00,502940,3592100,0,NA
F214,female,10/1/10,2010,Post_Monsoon,16:13:00,502974,3592075,42,NA
F214,female,10/11/10,2010,Post_Monsoon,15:08:00,502772,3592181,228,NA
F214,female,10/19/10,2010,Post_Monsoon,14:14:00,502766,3592179,6,NA
F214,female,10/22/10,2010,Post_Monsoon,13:00:00,502766,3592179,0,NA
F214,female,10/29/10,2010,Post_Monsoon,16:40:00,502725,3592164,44,NA
F214,female,11/12/10,2010,Post_Monsoon,14:47:00,502767,3592186,47,NA
