"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"F147",2012,13:37:00,501326,3592403
"F147",2012,12:44:00,501326,3592403
"F147",2012,11:30:00,501326,3592403
"F147",2012,15:44:00,501326,3592403
"F147",2012,15:52:00,501251,3592441
"F147",2012,13:47:00,501251,3592441
"F147",2012,11:48:00,501252,3592411
"F147",2012,16:22:00,501416,3592414
"F147",2012,14:12:00,501627,3592315
"F147",2012,08:11:00,501432,3592480
"F147",2012,17:46:00,501336,3592352
"F147",2012,10:52:00,501358,3592712
"F147",2012,18:11:00,501600,3592249
"F147",2012,08:33:00,501485,3592592
"F147",2012,22:25:00,501245,3592572
"F147",2012,08:49:00,501245,3592571
"F147",2012,18:42:00,501244,3592574
"F147",2012,21:30:00,501577,3592337
"F147",2012,13:13:00,501269,3592515
"F147",2012,14:16:00,501283,3592451
"F147",2012,12:43:00,501503,3592333
"F147",2012,08:06:00,501269,3592515
"F147",2012,11:05:00,501657,3592510
"F147",2012,11:47:00,501340,3592305
"F147",2012,21:46:00,501555,3592485
"F147",2012,19:57:00,501488,3592327
"F147",2012,16:27:00,501429,3592327
"F147",2012,12:55:00,501388,3592350
"F147",2012,10:48:00,501217,3592210
"F147",2012,19:26:00,501357,3592359
"F147",2012,08:38:00,501255,3592167
"F147",2012,09:33:00,501708,3592432
"F147",2012,14:17:00,501401,3592692
"F147",2012,08:50:00,501402,3592688
"F147",2012,10:26:00,501444,3592323
"F147",2012,20:22:00,501637,3592392
"F147",2012,11:20:00,501265,3592418
"F147",2012,09:28:00,501431,3592320
"F147",2012,13:05:00,501431,3592331
"F147",2012,13:28:00,501661,3592382
"F147",2012,16:31:00,501704,3592443
"F147",2012,22:22:00,501660,3592383
"F147",2012,16:01:00,501662,3592385
"F147",2012,16:00:00,501662,3592385
"F147",2012,18:30:00,501288,3592408
"F147",2012,12:58:00,501288,3592408
"F147",2012,13:48:00,501288,3592408
"F147",2012,15:56:00,501288,3592408
"F147",2012,12:10:00,501288,3592408
"F147",2012,10:39:00,501288,3592408
"F147",2012,13:58:00,501287,3592410
"F147",2012,12:52:00,501287,3592410
