LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
F137,female,8/3/08,2008,Monsoon,9:04:00,501327,3592186,NA,NA
F137,female,8/4/08,2008,Monsoon,23:20:00,501465,3592237,147,NA
F137,female,8/6/08,2008,Monsoon,20:40:00,501530,3592195,77,NA
F137,female,8/12/08,2008,Monsoon,0:01:00,501282,3592356,296,NA
F137,female,8/25/08,2008,Monsoon,21:33:00,501438,3592238,196,NA
F137,female,8/29/08,2008,Monsoon,21:41:00,501539,3592302,120,NA
F137,female,9/5/08,2008,Monsoon,21:27:00,501560,3592293,23,NA
F137,female,9/11/08,2008,Monsoon,8:17:00,501612,3592297,52,NA
F137,female,9/18/08,2008,Monsoon,18:29:00,501356,3592365,265,NA
F137,female,9/26/08,2008,Monsoon,18:13:00,501300,3592389,61,NA
F137,female,9/29/08,2008,Monsoon,10:19:00,501601,3592292,316,NA
F137,female,10/5/08,2008,Post_Monsoon,7:37:00,501615,3592351,61,NA
F137,female,10/10/08,2008,Post_Monsoon,15:29:00,501608,3592362,13,NA
F137,female,10/17/08,2008,Post_Monsoon,13:12:00,501615,3592348,16,NA
F137,female,11/8/08,2008,Post_Monsoon,11:07:00,501346,3592430,281,NA
F137,female,4/9/09,2009,Dry,1600,501486,3592328,173,NA
F137,female,4/10/09,2009,Dry,957,501631,3592272,155,NA
F137,female,4/13/09,2009,Dry,1620,501626,3592279,9,NA
F137,female,4/30/09,2009,Dry,1535,501334,3592204,301,NA
F137,female,5/11/09,2009,Dry,1118,501460,3592207,126,NA
F137,female,5/12/09,2009,Dry,1035,501455,3592299,92,NA
F137,female,5/18/09,2009,Dry,1716,501455,3592299,0,NA
F137,female,5/19/09,2009,Dry,1350,501443,3592231,69,NA
F137,female,5/25/09,2009,Dry,1306,501316,3592416,224,NA
F137,female,6/13/09,2009,Dry,1411,501312,3592336,80,NA
F137,female,6/17/09,2009,Dry,930,501293,3592369,38,NA
F137,female,6/26/09,2009,Dry,1703,501556,3592285,276,NA
F137,female,7/4/09,2009,Monsoon,7:47:00,501681,3592365,148,NA
F137,female,7/19/09,2009,Monsoon,1923,501444,3592233,271,NA
F137,female,7/27/09,2009,Monsoon,22:06:00,501371,3592364,150,NA
F137,female,7/28/09,2009,Monsoon,0:43:00,501399,3592274,94,NA
F137,female,7/29/09,2009,Monsoon,22:05:00,501438,3592248,47,NA
F137,female,8/11/09,2009,Monsoon,707,501440,3592247,2,NA
F137,female,8/21/09,2009,Monsoon,2:19:00,501593,3592349,184,NA
F137,female,9/5/09,2009,Monsoon,3:07:00,501598,3592357,9,NA
F137,female,9/9/09,2009,Monsoon,19:45:00,501596,3592358,2,NA
F137,female,9/15/09,2009,Monsoon,19:36:00,501643,3592357,47,NA
F137,female,9/22/09,2009,Monsoon,21:42:00,501596,3592360,47,NA
F137,female,9/23/09,2009,Monsoon,22:30:00,501612,3592278,84,NA
F137,female,9/29/09,2009,Monsoon,21:21:00,501648,3592367,96,NA
F137,female,9/30/09,2009,Monsoon,19:21:00,501648,3592367,0,NA
F137,female,10/6/09,2009,Post_Monsoon,14:03:00,501648,3592367,0,NA
F137,female,10/9/09,2009,Post_Monsoon,19:43:00,501555,3592293,119,NA
F137,female,10/18/09,2009,Post_Monsoon,19:24:00,501555,3592292,1,NA
F137,female,10/25/09,2009,Post_Monsoon,14:53:00,501345,3592431,252,NA
F137,female,10/31/09,2009,Post_Monsoon,12:43:00,501345,3592431,0,NA
F137,female,11/8/09,2009,Winter,11:34:00,501345,3592431,0,NA
F137,female,11/14/09,2009,Winter,1154,501346,3592433,2,NA
F137,female,11/22/09,2009,Winter,14:00:00,501345,3592431,2,NA
F137,female,12/13/09,2009,Winter,11:19:00,501345,3592431,0,NA
