LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
F114,female,5/17/07,2007,Dry,2114,499867,3592969,NA,NA
F114,female,5/23/07,2007,Dry,1811,499865,3592967,3,NA
F114,female,6/27/07,2007,Dry,1750,499793,3592839,147,NA
F114,female,7/3/07,2007,Dry,1845,499793,3592839,0,NA
F114,female,7/5/07,2007,Dry,1915,499793,3592839,0,NA
F114,female,8/16/07,2007,Monsoon,1924,499592,3592646,279,NA
F114,female,8/22/07,2007,Monsoon,1738,499760,3592783,217,NA
F114,female,8/27/07,2007,Monsoon,2115,499735,3592632,153,NA
