"2007",0.5833
"2008",9.3833
"2009",8.6067
"2010",8.3004
"2011",3.2956
"2012",7.1531
"2013",0.2806
"2007",2.5067
"2007",0.5833
"2008",11.9555
"2008",9.3833
"2009",11.4636
"2009",8.6067
"2010",9.6486
"2010",8.3004
"2011",5.9111
"2011",3.2956
"2012",10.1733
"2012",7.1531
"2007",2.5067
"2007",0.5833
"2008",11.9555
"2008",9.3833
"2009",11.4636
"2009",8.6067
"2010",9.6486
"2010",8.3004
"2011",5.9111
"2011",3.2956
"2012",10.1733
"2012",7.1531
"2013",1.1602
"2013",0.2806
"Winter",0.5506
"Winter",0.5467
"Emergence",0.9864
"Emergence",0.5724
"Dry",13.6595
"Dry",9.9483
"Monsoon",10.7228
"Monsoon",9.8444
"Post_Monsoon",4.5556
"Post_Monsoon",3.7124
"2007",17.4326
