LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
F114,female,3/28/09,2009,Emergence,N/A,499887,3592897,191,NA
F114,female,4/9/09,2009,Dry,1725,499887,3592897,0,NA
F114,female,4/10/09,2009,Dry,1348,499887,3592897,0,NA
F114,female,4/11/09,2009,Dry,958,499887,3592897,0,NA
F114,female,4/13/09,2009,Dry,1308,499887,3592897,0,NA
F114,female,4/16/09,2009,Dry,1414,499717,3592944,176,NA
F114,female,4/18/09,2009,Dry,1130,499717,3592944,0,NA
F114,female,4/20/09,2009,Dry,1130,499717,3592944,0,NA
F114,female,4/21/09,2009,Dry,919,499767,3592960,52,NA
F114,female,4/22/09,2009,Dry,1000,499767,3592960,0,NA
F114,female,4/23/09,2009,Dry,1240,499767,3592960,0,NA
F114,female,4/25/09,2009,Dry,1003,499743,3592955,25,NA
F114,female,4/26/09,2009,Dry,1043,499744,3592955,1,NA
F114,female,4/27/09,2009,Dry,835,499744,3592955,0,NA
F114,female,4/30/09,2009,Dry,1030,499850,3592794,193,NA
F114,female,5/11/09,2009,Dry,1220,499796,3592622,180,NA
F114,female,5/11/09,2009,Dry,2014,499822,3592558,69,NA
F114,female,5/12/09,2009,Dry,1107,499744,3592580,81,NA
F114,female,5/19/09,2009,Dry,638,499719,3592568,28,NA
F114,female,5/25/09,2009,Dry,1619,499840,3592902,355,NA
F114,female,6/4/09,2009,Dry,1250,499780,3592761,153,NA
F114,female,6/8/09,2009,Dry,1220,499780,3592761,0,NA
F114,female,6/9/09,2009,Dry,813,499780,3592761,0,NA
F114,female,6/10/09,2009,Dry,840,499784,3592770,10,NA
F114,female,6/11/09,2009,Dry,800,499784,3592770,0,NA
F114,female,6/12/09,2009,Dry,958,499788,3592773,5,NA
F114,female,6/13/09,2009,Dry,958,499788,3592773,0,NA
F114,female,6/15/09,2009,Dry,1000,499788,3592773,0,NA
F114,female,6/16/09,2009,Dry,1939,499788,3592773,0,NA
F114,female,6/17/09,2009,Dry,1026,499788,3592773,0,NA
F114,female,6/26/09,2009,Dry,1532,499791,3592840,67,NA
F114,female,7/2/09,2009,Monsoon,21:46:00,499791,3592841,1,NA
F114,female,7/6/09,2009,Monsoon,2146,499828,3592891,62,NA
F114,female,7/6/09,2009,Monsoon,21:54:00,499830,3592899,8,NA
F114,female,7/7/09,2009,Monsoon,11:10:00,499866,3592938,53,NA
F114,female,7/20/09,2009,Monsoon,23:14:00,499833,3592853,91,NA
F114,female,8/4/09,2009,Monsoon,1918,499621,3592715,253,NA
F114,female,8/4/09,2009,Monsoon,2246,499532,3592610,138,NA
F114,female,8/11/09,2009,Monsoon,930,499879,3592682,354,NA
F114,female,8/17/09,2009,Monsoon,20:53:00,499514,3592725,368,NA
F114,female,8/18/09,2009,Monsoon,0:51:00,499571,3592756,65,NA
F114,female,8/19/09,2009,Monsoon,23:44:00,499790,3592803,224,NA
F114,female,10/18/09,2009,Post_Monsoon,14:33:00,499792,3592797,6,NA
F114,female,10/19/09,2009,Post_Monsoon,18:46:00,499792,3592797,0,NA
F114,female,10/20/09,2009,Post_Monsoon,14:08:00,499792,3592797,0,NA
F114,female,10/25/09,2009,Post_Monsoon,11:20:00,499861,3592917,138,NA
F114,female,10/31/09,2009,Post_Monsoon,14:48:00,499861,3592917,0,NA
F114,female,11/8/09,2009,Post_Monsoon,12:46:00,499861,3592917,0,NA
F114,female,11/14/09,2009,Post_Monsoon,1321,499727,3592993,154,NA
F114,female,11/22/09,2009,Winter,15:21:00,499727,3592987,6,NA
F114,female,11/29/09,2009,Winter,13:19:00,499727,3592987,0,NA
F114,female,12/13/09,2009,Winter,12:20:00,499727,3592987,0,NA
