"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"F200",2011,10:22:00,499293,3592697
"F200",2011,16:12:00,499515,3592468
"F200",2011,10:30:00,499331,3592676
"F200",2011,14:52:00,499388,3592363
"F200",2011,11:51:00,499325,3592403
"F200",2011,15:33:00,499275,3592376
"F200",2011,07:12:00,499274,3592383
"F200",2011,17:18:00,499501,3592354
"F200",2011,13:05:00,499329,3592262
"F200",2011,10:45:00,499329,3592262
"F200",2011,10:07:00,499454,3592372
"F200",2011,15:59:00,499418,3592433
"F200",2011,11:39:00,499236,3592346
"F200",2011,10:21:00,499243,3592397
"F200",2011,16:20:00,499279,3592271
"F200",2011,10:52:00,499278,3592276
"F200",2011,14:33:00,499429,3592386
"F200",2011,16:59:00,499322,3592385
"F200",2011,17:51:00,499373,3592513
"F200",2011,17:23:00,499401,3592274
"F200",2011,15:06:00,499404,3592479
"F200",2011,19:35:00,499454,3592484
"F200",2011,11:52:00,499454,3592484
"F200",2011,19:20:00,499454,3592484
"F200",2011,09:13:00,499347,3592691
"F200",2011,12:28:00,499354,3592700
"F200",2011,10:33:00,499354,3592700
"F200",2011,09:10:00,499354,3592700
