"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"F200",2010,21:44:00,499393,3592294
"F200",2010,00:48:00,499393,3592294
"F200",2010,20:22:00,499395,3592300
"F200",2010,22:47:00,499393,3592293
"F200",2010,08:59:00,499393,3592296
"F200",2010,09:04:00,499358,3592308
"F200",2010,07:51:00,499412,3592292
"F200",2010,20:39:00,499386,3592272
"F200",2010,21:39:00,499354,3592311
"F200",2010,08:06:00,499435,3592260
"F200",2010,22:31:00,499401,3592332
"F200",2010,22:46:00,499405,3592272
"F200",2010,19:05:00,499408,3592272
"F200",2010,21:44:00,499424,3592395
"F200",2010,11:29:00,499399,3592330
"F200",2010,21:53:00,499410,3592291
"F200",2010,08:20:00,499408,3592291
"F200",2010,21:53:00,499412,3592289
"F200",2010,23:15:00,499264,3592298
"F200",2010,23:00:00,499233,3592332
"F200",2010,08:56:00,499232,3592333
"F200",2010,20:49:00,499304,3592421
"F200",2010,08:12:00,499423,3592393
"F200",2010,08:04:00,499440,3592259
"F200",2010,21:41:00,499440,3592259
"F200",2010,18:41:00,499347,3592431
"F200",2010,11:19:00,499347,3592431
"F200",2010,08:42:00,499327,3592439
"F200",2010,18:34:00,499347,3592431
"F200",2010,14:18:00,499314,3592731
"F200",2010,16:42:00,499315,3592738
"F200",2010,14:55:00,499315,3592738
"F200",2010,17:35:00,499315,3592733
"F200",2010,13:55:00,499309,3592740
