LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
F36,female,4/9/09,2009,Dry,1800,500395,3592566,316,NA
F36,female,4/10/09,2009,Dry,1319,500395,3592566,0,NA
F36,female,4/11/09,2009,Dry,1027,500395,3592566,0,NA
F36,female,4/13/09,2009,Dry,1251,500395,3592566,0,NA
F36,female,4/16/09,2009,Dry,1325,500395,3592566,0,NA
F36,female,4/18/09,2009,Dry,1048,500377,3592580,23,NA
F36,female,4/23/09,2009,Dry,1310,500280,3592526,111,NA
F36,female,4/30/09,2009,Dry,1130,500308,3592676,153,NA
F36,female,5/11/09,2009,Dry,1157,500308,3592676,0,NA
F36,female,5/12/09,2009,Dry,1137,500308,3592676,0,NA
F36,female,5/13/09,2009,Dry,813,500308,3592676,0,NA
F36,female,5/14/09,2009,Dry,1019,500364,3592509,176,NA
F36,female,5/19/09,2009,Dry,718,500380,3592659,151,NA
F36,female,5/25/09,2009,Dry,1713,500429,3592457,208,NA
F36,female,6/4/09,2009,Dry,1229,500425,3592494,37,NA
F36,female,6/8/09,2009,Dry,1203,500425,3592494,0,NA
F36,female,6/9/09,2009,Dry,822,500425,3592494,0,NA
F36,female,6/10/09,2009,Dry,855,500425,3592494,0,NA
F36,female,6/26/09,2009,Dry,1517,500428,3592499,6,NA
F36,female,7/1/09,2009,Monsoon,21:31:00,500392,3592660,165,NA
F36,female,7/6/09,2009,Monsoon,2257,500391,3592658,2,NA
F36,female,7/6/09,2009,Monsoon,22:59:00,500392,3592660,2,NA
F36,female,7/9/09,2009,Monsoon,2051,500391,3592658,2,NA
F36,female,7/10/09,2009,Monsoon,2342,500391,3592658,0,NA
F36,female,7/11/09,2009,Monsoon,2031,500391,3592658,0,NA
F36,female,7/12/09,2009,Monsoon,1949,500391,3592658,0,NA
F36,female,7/13/09,2009,Monsoon,104,500391,3592658,0,NA
F36,female,7/14/09,2009,Monsoon,2110,500391,3592658,0,NA
F36,female,7/17/09,2009,Monsoon,1826,500391,3592658,0,NA
F36,female,7/19/09,2009,Monsoon,2140,500391,3592658,0,NA
F36,female,7/22/09,2009,Monsoon,22:32:00,500393,3592661,4,NA
F36,female,8/2/09,2009,Monsoon,26,500391,3592658,4,NA
F36,female,8/2/09,2009,Monsoon,2257,500289,3592636,104,NA
F36,female,8/10/09,2009,Monsoon,21:25:00,500292,3592547,89,NA
F36,female,8/11/09,2009,Monsoon,839,500289,3592636,89,NA
F36,female,8/13/09,2009,Monsoon,22:31:00,500392,3592655,105,NA
F36,female,8/17/09,2009,Monsoon,21:10:00,500392,3592655,0,NA
F36,female,8/25/09,2009,Monsoon,21:29:00,500468,3592593,98,NA
F36,female,8/26/09,2009,Monsoon,23:58:00,500468,3592593,0,NA
F36,female,8/27/09,2009,Monsoon,22:51:00,500411,3592543,76,NA
F36,female,8/28/09,2009,Monsoon,2:10:00,500394,3592542,17,NA
F36,female,8/29/09,2009,Monsoon,0:18:00,500394,3592542,0,NA
F36,female,9/1/09,2009,Monsoon,2:57:00,500511,3592670,173,NA
F36,female,9/1/09,2009,Monsoon,0:40:00,500516,3592678,9,NA
F36,female,9/3/09,2009,Monsoon,2218,500531,3592595,84,NA
F36,female,9/4/09,2009,Monsoon,2005,500531,3592595,0,NA
F36,female,9/5/09,2009,Monsoon,1405,500531,3592595,0,NA
F36,female,9/6/09,2009,Monsoon,1607,500531,3592595,0,NA
F36,female,9/7/09,2009,Monsoon,1820,500463,3592590,68,NA
F36,female,9/8/09,2009,Monsoon,20:27:00,500463,3592592,2,NA
F36,female,9/9/09,2009,Monsoon,8:27:00,500463,3592592,0,NA
F36,female,9/11/09,2009,Monsoon,2314,500465,3592589,4,NA
F36,female,9/14/09,2009,Monsoon,20:30:00,500463,3592592,4,NA
F36,female,9/20/09,2009,Monsoon,650,500465,3592589,4,NA
F36,female,9/23/09,2009,Monsoon,19:53:00,500463,3592592,4,NA
F36,female,9/24/09,2009,Monsoon,8:49:00,500463,3592592,0,NA
F36,female,9/29/09,2009,Monsoon,18:54:00,500581,3592612,120,NA
F36,female,9/30/09,2009,Monsoon,21:00:00,500581,3592612,0,NA
F36,female,10/6/09,2009,Post_Monsoon,13:32:00,500574,3592615,8,NA
F36,female,10/11/09,2009,Post_Monsoon,12:46:00,500578,3592620,6,NA
F36,female,10/18/09,2009,Post_Monsoon,15:57:00,500401,3592792,247,NA
F36,female,10/25/09,2009,Post_Monsoon,10:54:00,500401,3592792,0,NA
F36,female,10/31/09,2009,Post_Monsoon,15:17:00,500374,3592901,112,NA
F36,female,11/8/09,2009,Post_Monsoon,12:17:00,500375,3592909,8,NA
F36,female,11/14/09,2009,Post_Monsoon,1249,500374,3592913,4,NA
F36,female,11/22/09,2009,Winter,14:37:00,500375,3592909,4,NA
F36,female,12/13/09,2009,Winter,11:50:00,500375,3592909,0,NA
