"LIZARDNUMBER","YEAR","TIME","EASTING","NORTHING"
"M112",2007,"0:00",499691,3592539
"M112",2007,"0:00",499480,3592041
"M112",2007,"0:00",499714,3592842
"M112",2007,"0:00",499714,3592842
"M112",2007,"0:00",499552,3592728
"M112",2007,"0:00",499552,3592728
"M112",2007,"0:00",499528,3592735
"M112",2007,"0:00",499585,3592813
"M112",2007,"0:00",499469,3592719
"M112",2007,"0:00",499745,3592821
"M112",2007,"0:00",499674,3592708
"M112",2007,"0:00",499457,3592741
"M112",2007,"0:00",499465,3592743
"M112",2009,"3:48",499325,3592340
"M112",2009,"7:54",499547,3592443
"M112",2009,"18:53",499547,3592443
"M112",2009,"20:48",499547,3592443
"M112",2009,"18:58",499547,3592443
"M112",2009,"18:02",499547,3592443
"M112",2009,"20:15",499547,3592443
"M112",2009,"18:27",499547,3592443
"M112",2009,"17:47",499580,3592924
"M112",2009,"16:09",499592,3592960
"M112",2009,"16:52",499565,3593028
"M112",2009,"11:59",499534,3592990
"M112",2009,"14:21",499587,3592943
"M112",2009,"13:17",499587,3592943
"M112",2009,"16:09",499534,3592992
"M112",2009,"12:43",499534,3592992
"M112",2009,"13:24",499583,3592949
"M112",2009,"10:40",499583,3592949
"M112",2010,"13:42",499580,3592968
"M112",2010,"14:23",499586,3592935
"M112",2010,"14:43",499404,3592751
"M112",2010,"17:37",499499,3592364
"M112",2010,"14:57",499462,3592264
"M112",2010,"14:23",499492,3592367
"M112",2010,"18:01",499169,3592063
"M112",2010,"10:23",499169,3592063
"M112",2010,"15:34",499327,3592438
"M112",2010,"16:00",499327,3592427
"M112",2010,"9:31",499321,3592435
"M112",2010,"8:32",499659,3592320
"M112",2010,"0:17",499658,3592322
"M112",2010,"9:36",499329,3592419
"M112",2010,"22:01",499399,3592450
"M112",2010,"11:21",499496,3592359
"M112",2010,"20:40",499404,3592471
"M112",2010,"7:09",499594,3592475
"M112",2010,"23:20",499461,3592381
"M112",2010,"0:01",499462,3592373
"M112",2010,"8:41",499459,3592380
"M112",2010,"19:55",499467,3592406
"M112",2010,"19:46",499467,3592406
"M112",2010,"7:33",499467,3592406
"M112",2010,"21:37",499467,3592406
"M112",2010,"21:32",499467,3592406
