LIZARDNUMBER,SEX,DATE,YEAR,SEASON,TIME,EASTING,NORTHING,Distance.Moved..m.,X
F147,female,7/4/09,2009,Monsoon,8:34:00,501456,3592165,259,NA
F147,female,7/7/09,2009,Monsoon,2242,501472,3592489,324,NA
F147,female,7/7/09,2009,Monsoon,23:01:00,501472,3592488,1,NA
F147,female,7/20/09,2009,Monsoon,1511,501597,3592531,132,NA
F147,female,8/4/09,2009,Monsoon,1825,501639,3592521,43,NA
F147,female,8/5/09,2009,Monsoon,2148,501639,3592521,0,NA
F147,female,8/6/09,2009,Monsoon,2008,501661,3592489,39,NA
F147,female,8/11/09,2009,Monsoon,2:08:00,501647,3592529,42,NA
F147,female,8/20/09,2009,Monsoon,20:02:00,501707,3592449,100,NA
F147,female,8/24/09,2009,Monsoon,21:51:00,501668,3592556,114,NA
F147,female,8/29/09,2009,Monsoon,21:27:00,501666,3592551,5,NA
F147,female,8/30/09,2009,Monsoon,8:57:00,501666,3592551,0,NA
F147,female,9/1/09,2009,Monsoon,2024,501665,3592554,3,NA
F147,female,9/2/09,2009,Monsoon,1948,501665,3592554,0,NA
F147,female,9/4/09,2009,Monsoon,2055,501665,3592554,0,NA
F147,female,9/5/09,2009,Monsoon,1425,501665,3592554,0,NA
F147,female,9/6/09,2009,Monsoon,1545,501665,3592554,0,NA
F147,female,9/7/09,2009,Monsoon,1838,501665,3592554,0,NA
F147,female,9/9/09,2009,Monsoon,21:59:00,501666,3592553,1,NA
F147,female,9/15/09,2009,Monsoon,7:43:00,501702,3592559,36,NA
F147,female,9/20/09,2009,Monsoon,700,501702,3592559,0,NA
F147,female,9/23/09,2009,Monsoon,8:24:00,501702,3592559,0,NA
F147,female,9/24/09,2009,Monsoon,9:51:00,501631,3592525,79,NA
F147,female,9/30/09,2009,Monsoon,8:24:00,501704,3592451,104,NA
F147,female,7/15/10,2010,Monsoon,8:37:00,501681,3592459,370,NA
F147,female,7/18/10,2010,Monsoon,20:47:00,501443,3592246,319,NA
F147,female,7/23/10,2010,Monsoon,22:24:00,501440,3592486,240,NA
F147,female,7/25/10,2010,Monsoon,22:28:00,501383,3592425,83,NA
F147,female,7/26/10,2010,Monsoon,19:26:00,501373,3592429,11,NA
F147,female,8/1/10,2010,Monsoon,20:05:00,501390,3592599,171,NA
F147,female,8/17/10,2010,Monsoon,10:03:00,501228,3592396,260,NA
F147,female,8/18/10,2010,Monsoon,19:34:00,501223,3592403,9,NA
F147,female,8/24/10,2010,Monsoon,8:10:00,501273,3592506,114,NA
F147,female,9/6/10,2010,Monsoon,6:28:00,501276,3592507,3,NA
F147,female,9/9/10,2010,Monsoon,10:23:00,501281,3592509,5,NA
F147,female,9/16/10,2010,Monsoon,18:59:00,501268,3592503,14,NA
F147,female,9/17/10,2010,Monsoon,19:03:00,501268,3592503,0,NA
F147,female,9/23/10,2010,Monsoon,19:15:00,501268,3592503,0,NA
F147,female,9/26/10,2010,Monsoon,19:44:00,501268,3592503,0,NA
F147,female,9/27/10,2010,Monsoon,20:16:00,501268,3592497,6,NA
F147,female,7/8/11,2011,Monsoon,10:32:00,501368,3592147,442,NA
F147,female,8/4/11,2011,Monsoon,16:06:00,501277,3592427,294,NA
F147,female,8/7/11,2011,Monsoon,8:56:00,501275,3592426,2,NA
F147,female,8/13/11,2011,Monsoon,12:14:00,501220,3592454,62,NA
F147,female,8/23/11,2011,Monsoon,16:22:00,501436,3592245,301,NA
F147,female,9/5/11,2011,Monsoon,9:48:00,501404,3592235,34,NA
F147,female,9/13/11,2011,Monsoon,18:21:00,501438,3592248,36,NA
F147,female,9/22/11,2011,Monsoon,18:03:00,501444,3592249,6,NA
F147,female,7/5/12,2012,Monsoon,12:43:00,501503,3592333,250,NA
F147,female,7/10/12,2012,Monsoon,8:06:00,501269,3592515,296,NA
F147,female,7/12/12,2012,Monsoon,11:05:00,501657,3592510,388,NA
F147,female,7/16/12,2012,Monsoon,11:47:00,501340,3592305,378,NA
F147,female,7/17/12,2012,Monsoon,21:46:00,501555,3592485,280,NA
F147,female,7/20/12,2012,Monsoon,19:57:00,501488,3592327,172,NA
F147,female,7/23/12,2012,Monsoon,16:27:00,501429,3592327,59,NA
F147,female,7/25/12,2012,Monsoon,12:55:00,501388,3592350,47,NA
F147,female,7/27/12,2012,Monsoon,10:48:00,501217,3592210,221,NA
F147,female,7/30/12,2012,Monsoon,19:26:00,501357,3592359,204,NA
F147,female,8/1/12,2012,Monsoon,8:38:00,501255,3592167,217,NA
F147,female,8/3/12,2012,Monsoon,9:33:00,501708,3592432,525,NA
F147,female,8/10/12,2012,Monsoon,14:17:00,501401,3592692,402,NA
F147,female,8/15/12,2012,Monsoon,8:50:00,501402,3592688,4,NA
F147,female,8/17/12,2012,Monsoon,10:26:00,501444,3592323,367,NA
F147,female,8/22/12,2012,Monsoon,20:22:00,501637,3592392,205,NA
F147,female,8/27/12,2012,Monsoon,11:20:00,501265,3592418,373,NA
F147,female,9/2/12,2012,Monsoon,9:28:00,501431,3592320,193,NA
F147,female,9/7/12,2012,Monsoon,13:05:00,501431,3592331,11,NA
F147,female,9/20/12,2012,Monsoon,13:28:00,501661,3592382,236,NA
F147,female,9/26/12,2012,Monsoon,16:31:00,501704,3592443,75,NA
F147,female,9/29/12,2012,Monsoon,22:22:00,501660,3592383,74,NA
