"LIZARDNUMBER","DATE","TIME","EASTING","NORTHING","Distance.Moved..m."
"F146","3/14/09","0:00",500920,3592553,NA
"F146","3/28/09","0:00",501076,3592494,167
"F146","4/9/09","0:00",500845,3592448,236
"F146","4/16/09","0:00",501089,3592503,250
"F146","4/23/09","0:00",500845,3592666,293
"F146","4/30/09","0:00",500924,3592623,90
"F146","5/11/09","0:00",501049,3592519,163
"F146","5/12/09","0:00",500867,3592623,210
"F146","5/12/09","0:00",500846,3592613,23
"F146","5/19/09","0:00",501049,3592623,203
"F146","5/25/09","0:00",500796,3592667,257
"F146","6/4/09","0:00",501100,3592543,328
"F146","6/8/09","0:00",500841,3592647,279
"F146","6/9/09","0:00",501105,3592544,283
"F146","6/10/09","0:00",500735,3592639,382
"F146","6/17/09","0:00",500978,3592373,360
"F146","6/26/09","0:00",501045,3592341,74
"F146","7/4/09","7:49",500788,3592659,409
"F146","7/9/09","21:05",500811,3592690,39
"F146","7/10/09","0:35",500775,3592635,66
"F146","7/20/09","0:00",500978,3592365,338
"F146","7/26/09","21:12",500764,3592823,506
"F146","8/1/09","0:00",500722,3592743,90
"F146","8/11/09","0:00",501032,3592542,369
"F146","8/16/09","22:58",501048,3592545,16
"F146","8/25/09","22:16",501033,3592552,17
"F146","8/29/09","23:29",501033,3592552,0
"F146","8/30/09","10:01",501033,3592552,0
"F146","9/3/09","0:00",501032,3592545,7
"F146","9/4/09","0:00",501032,3592545,0
"F146","9/9/09","20:13",501033,3592552,7
"F146","9/15/09","20:19",501033,3592552,0
"F146","9/23/09","10:15",501054,3592555,21
"F146","9/30/09","9:14",501046,3592554,8
"F146","10/6/09","17:54",501091,3592592,59
"F146","10/10/09","15:52",501089,3592591,2
"F146","10/18/09","18:02",501089,3592591,0
"F146","10/25/09","13:23",501089,3592591,0
"F146","10/31/09","12:04",501089,3592591,0
"F146","11/8/09","15:55",501024,3592543,81
"F146","11/14/09","0:00",501031,3592540,8
"F146","11/29/09","14:53",501087,3592503,67
"F146","12/13/09","14:36",501087,3592503,0
"F146","3/25/10","17:48",501087,3592503,0
"F146","4/5/10","16:09",501024,3592348,167
"F146","4/24/10","16:14",500745,3592822,550
"F146","5/6/10","16:23",500735,3592788,35
"F146","5/14/10","15:25",500854,3592654,179
"F146","6/4/10","9:01",500970,3592578,139
"F146","6/16/10","22:50",500833,3592709,190
"F146","6/21/10","21:14",500873,3592675,52
"F146","6/25/10","8:17",500877,3592649,26
