"LIZARDNUMBER","DATE","TIME","EASTING","NORTHING","Distance.Moved..m."
"M255","8/15/11","9:34",502321,3591579,NA
"M255","8/16/11","18:41",502417,3591450,161
"M255","8/20/11","21:30",502464,3591437,49
"M255","8/23/11","18:36",502474,3591441,11
"M255","8/25/11","20:25",502482,3591442,8
"M255","9/1/11","17:40",502482,3591442,0
"M255","9/5/11","11:04",502606,3591334,164
"M255","9/13/11","19:22",502609,3591360,26
"M255","9/22/11","21:24",502609,3591360,0
"M255","10/1/11","15:37",502473,3591776,438
"M255","10/11/11","16:32",502448,3591769,26
"M255","10/14/11","18:38",502444,3591775,7
"M255","11/19/11","12:48",502480,3591733,55
"M255","11/27/11","15:33",502478,3591732,2
"M255","12/6/11","17:12",502478,3591732,0
"M255","12/27/11","11:28",502478,3591732,0
"M255","1/17/12","15:06",502478,3591732,0
"M255","1/24/12","11:48",502444,3591755,41
"M255","2/1/12","10:37",502444,3591755,0
"M255","2/17/12","16:28",502460,3591745,19
"M255","2/29/12","14:20",502108,3591732,352
"M255","3/10/12","15:06",502084,3591708,34
"M255","3/14/12","13:38",502145,3591769,86
"M255","3/22/12","14:56",502178,3591697,79
"M255","3/27/12","13:45",502381,3591866,264
"M255","4/5/12","9:28",502211,3591606,311
"M255","4/13/12","16:20",502461,3591746,287
"M255","4/21/12","11:31",502475,3591747,14
"M255","4/26/12","10:06",502222,3591464,380
