"LIZARDNUMBER","DATE","TIME","EASTING","NORTHING","Distance.Moved..m."
"M67","5/2/07","0:00",501931,3592741,NA
"M67","5/17/07","0:00",501994,3592682,86
"M67","5/23/07","0:00",501829,3592405,322
"M67","6/1/07","0:00",501694,3592532,185
"M67","6/5/07","0:00",501784,3592564,96
"M67","6/20/07","0:00",501804,3592297,268
"M67","6/27/07","0:00",501830,3592477,182
"M67","7/3/07","0:00",501830,3592477,0
"M67","7/5/07","0:00",501823,3592629,152
"M67","7/18/07","0:00",501823,3592629,0
"M67","7/19/07","0:00",501832,3592486,143
"M67","8/1/07","0:00",501987,3592617,203
"M67","8/16/07","0:00",501709,3592707,292
"M67","8/22/07","0:00",502205,3592591,509
"M67","8/27/07","0:00",501887,3592751,356
"M67","8/30/07","0:00",501987,3592753,100
