"LIZARDNUMBER","DATE","TIME","EASTING","NORTHING","Distance.Moved..m."
"F147","4/9/09","0:00",501248,3592444,NA
"F147","4/10/09","0:00",501248,3592444,0
"F147","4/13/09","0:00",501248,3592444,0
"F147","4/16/09","0:00",501290,3592591,153
"F147","4/18/09","0:00",501290,3592591,0
"F147","4/20/09","0:00",501290,3592591,0
"F147","4/21/09","0:00",501290,3592591,0
"F147","4/22/09","0:00",501290,3592591,0
"F147","4/23/09","0:00",501554,3592583,264
"F147","4/25/09","0:00",501426,3592155,447
"F147","4/26/09","0:00",501431,3592154,5
"F147","4/26/09","0:00",501428,3592153,3
"F147","4/27/09","0:00",501428,3592153,0
"F147","4/27/09","0:00",501442,3592108,47
"F147","4/30/09","0:00",501258,3592544,473
"F147","5/11/09","0:00",501268,3592619,76
"F147","5/12/09","0:00",501268,3592619,0
"F147","5/13/09","0:00",501268,3592619,0
"F147","5/19/09","0:00",501098,3592489,214
"F147","6/3/09","0:00",501605,3592492,507
"F147","6/8/09","0:00",501233,3592454,374
"F147","6/8/09","0:00",501233,3592464,10
"F147","6/9/09","0:00",501233,3592464,0
"F147","6/10/09","0:00",501299,3592381,106
"F147","6/17/09","0:00",501344,3592419,59
"F147","6/26/09","0:00",501421,3592422,77
"F147","7/4/09","8:34",501456,3592165,259
"F147","7/7/09","0:00",501472,3592489,324
"F147","7/7/09","23:01",501472,3592488,1
"F147","7/20/09","0:00",501597,3592531,132
"F147","8/4/09","0:00",501639,3592521,43
"F147","8/5/09","0:00",501639,3592521,0
"F147","8/6/09","0:00",501661,3592489,39
"F147","8/11/09","2:08",501647,3592529,42
"F147","8/20/09","20:02",501707,3592449,100
"F147","8/24/09","21:51",501668,3592556,114
"F147","8/29/09","21:27",501666,3592551,5
"F147","8/30/09","8:57",501666,3592551,0
"F147","9/1/09","0:00",501665,3592554,3
"F147","9/2/09","0:00",501665,3592554,0
"F147","9/4/09","0:00",501665,3592554,0
"F147","9/5/09","0:00",501665,3592554,0
"F147","9/6/09","0:00",501665,3592554,0
"F147","9/7/09","0:00",501665,3592554,0
"F147","9/9/09","21:59",501666,3592553,1
"F147","9/15/09","7:43",501702,3592559,36
"F147","9/20/09","0:00",501702,3592559,0
"F147","9/23/09","8:24",501702,3592559,0
"F147","9/24/09","9:51",501631,3592525,79
"F147","9/30/09","8:24",501704,3592451,104
"F147","10/6/09","14:38",501662,3592378,84
"F147","10/6/09","19:34",501665,3592377,3
"F147","10/10/09","11:41",501657,3592375,8
"F147","10/18/09","19:01",501657,3592375,0
"F147","10/25/09","14:05",501657,3592375,0
"F147","10/31/09","13:04",501657,3592375,0
"F147","11/8/09","14:27",501648,3592514,139
"F147","11/14/09","0:00",501644,3592516,4
"F147","11/22/09","16:43",501648,3592514,4
"F147","11/29/09","15:20",501648,3592514,0
"F147","12/13/09","14:57",501642,3592514,6
"F147","12/22/09","11:36",501641,3592512,2
"F147","3/27/10","18:02",501613,3592509,28
"F147","4/5/10","18:36",501246,3592413,379
"F147","4/9/10","17:38",501585,3592488,347
"F147","5/6/10","11:19",501602,3592632,145
"F147","5/14/10","12:41",501433,3592681,176
"F147","5/23/10","11:18",501200,3592724,237
"F147","6/2/10","15:54",501186,3592741,22
"F147","6/11/10","18:21",501613,3592309,607
"F147","6/21/10","20:16",501677,3592526,226
"F147","6/23/10","0:14",501662,3592521,16
"F147","6/23/10","21:43",501646,3592510,19
"F147","6/27/10","20:33",501646,3592510,0
"F147","7/2/10","21:39",501311,3592539,336
"F147","7/6/10","21:46",501311,3592610,71
"F147","7/7/10","21:32",501323,3592563,49
"F147","7/8/10","1:32",501318,3592533,30
"F147","7/15/10","8:37",501681,3592459,370
"F147","7/18/10","20:47",501443,3592246,319
"F147","7/23/10","22:24",501440,3592486,240
