"LIZARDNUMBER","DATE","TIME","EASTING","NORTHING","Distance.Moved..m."
"M215","8/15/11","16:10",500494,3592502,2197
"M215","8/16/11","14:07",500393,3592584,115
"M215","8/20/11","18:41",500259,3592332,285
"M215","8/23/11","15:43",500181,3592383,93
"M215","8/25/11","21:27",500384,3592402,204
"M215","8/27/11","18:24",500405,3592326,79
"M215","9/1/11","18:26",500178,3592380,233
"M215","9/4/11","18:11",500130,3592304,90
"M215","9/13/11","14:26",500424,3592504,356
"M215","9/22/11","20:31",500424,3592504,0
"M215","10/1/11","12:13",500424,3592504,0
"M215","10/11/11","17:38",500287,3592539,141
"M215","11/27/11","14:11",500417,3592888,372
"M215","12/5/11","11:26",500374,3592895,44
"M215","12/27/11","10:05",500412,3592891,38
"M215","1/17/12","16:30",500412,3592891,0
"M215","1/24/12","13:26",500412,3592891,0
"M215","2/1/12","12:40",500373,3592860,50
"M215","2/17/12","13:33",500281,3592918,109
"M215","2/29/12","12:32",500349,3592886,75
"M215","3/10/12","10:28",500349,3592886,0
"M215","3/13/12","13:46",500246,3592638,269
"M215","3/22/12","12:54",500348,3592861,245
"M215","3/30/12","10:58",500178,3592778,189
"M215","4/4/12","12:46",500399,3592568,305
"M215","4/26/12","11:11",500392,3592885,317
"M215","5/4/12","18:14",500185,3592541,401
"M215","5/11/12","10:08",500418,3592920,445
"M215","5/23/12","21:23",500235,3592680,302
"M215","5/26/12","19:46",500230,3592678,5
"M215","5/29/12","12:22",500598,3592824,396
"M215","5/30/12","12:58",500516,3592881,100
"M215","6/6/12","11:20",500324,3592835,197
"M215","6/14/12","10:55",500377,3592558,282
"M215","6/22/12","12:27",500291,3592645,122
"M215","7/5/12","13:49",500238,3592602,68
