"LIZARDNUMBER","DATE","TIME","EASTING","NORTHING","Distance.Moved..m."
"M14","5/2/07","0:00",501225,3592609,NA
"M14","5/3/07","0:00",501225,3592609,0
"M14","5/6/07","0:00",501114,3592751,180
"M14","5/8/07","0:00",501114,3592751,0
"M14","5/19/07","0:00",501225,3592614,176
"M14","5/24/07","0:00",501211,3592526,89
"M14","6/1/07","0:00",501196,3592591,67
"M14","6/21/07","0:00",501069,3592562,130
"M14","6/27/07","0:00",501118,3592722,167
"M14","7/3/07","0:00",501242,3592590,181
"M14","7/5/07","0:00",501102,3592685,169
"M14","8/1/07","0:00",501006,3592813,160
"M14","8/19/07","0:00",501289,3592706,303
"M14","8/22/07","0:00",501148,3592756,150
"M14","8/27/07","0:00",501048,3592719,107
"M14","8/15/11","10:20",501373,3592755,327
"M14","8/16/11","19:52",501219,3592819,167
"M14","8/20/11","19:25",501476,3592766,262
"M14","8/23/11","17:35",501190,3592543,363
"M14","8/27/11","19:42",501494,3592735,360
"M14","9/1/11","16:13",501357,3592772,142
"M14","10/1/11","11:12",501255,3592617,186
"M14","10/7/11","18:36",501267,3592620,12
"M14","10/11/11","16:01",501266,3592618,2
"M14","10/14/11","16:46",501261,3592621,6
"M14","11/27/11","16:31",501176,3592558,106
"M14","12/6/11","16:03",501176,3592558,0
"M14","12/27/11","10:25",501176,3592558,0
"M14","1/18/12","13:05",501176,3592558,0
"M14","1/24/12","13:14",501176,3592558,0
"M14","2/1/12","12:10",501176,3592558,0
"M14","2/17/12","14:20",501173,3592561,4
"M14","2/29/12","17:19",501375,3592752,278
"M14","3/10/12","12:55",501381,3592682,70
"M14","3/14/12","10:03",501298,3592697,84
"M14","3/22/12","14:03",501298,3592697,0
"M14","3/30/12","12:14",501549,3592761,259
"M14","4/4/12","15:05",501300,3592699,257
"M14","4/13/12","14:43",501199,3592723,104
"M14","4/21/12","12:10",501519,3592796,328
"M14","4/26/12","8:50",501129,3592726,396
